Date/Time;Coal mill 3 coal flow;Coal mill 3 power;Coal mill 3 primary air flow;Coal mill 3 air dp;Coal mill 3 primary air temp;Coal mill 3 primary air pressure;Coal mill 3 hot air valve;Coal mill 3 cold air valve;Main steam flow;FD fan1 power;FD fan2 power;FD fan 1 dp;FD fan 2 dp;Total air flow;Air before FD fan 1;Air before FD fan 2;Pressure after FD fan 1;Pressure after FD fan 2;Air before air preheater 1;Air before air preheater 2;Air after air preheater 1;Air after air preheater 2;;Coal mill 3 primary coal-air
;kg/s;kW;kg/s;mbar;C;mbar;%;%;kg/s;kW;kW;mbar;mbar;kg/s;kg/s;kg/s;mbar;mbar;C;C;C;C;;C
2017-09-23 00:00;3,45;89,621;9,098;32,107;277,692;55,293;65,665;5,079;102,669;0,308;0,31;34,274;33,578;127,701;63,148;64,551;31,3;31,419;37,033;37,582;316,813;313,114;;89,304
2017-09-23 00:01;3,461;87,546;9,155;32,206;278,132;55,943;65,369;6,316;102,669;0,308;0,31;34,37;33,7;127,875;63,23;64,645;31,391;31,467;37,582;37,582;316,813;313,114;;89,89
2017-09-23 00:02;3,452;89,011;9,154;32,363;276,813;55,861;65,369;6,316;102,669;0,308;0,311;34,38;33,612;127,838;63,232;64,611;31,39;31,383;37,582;37,582;316,813;313,114;;89,89
2017-09-23 00:03;3,487;88,889;9,252;32,442;277,802;56,424;66,129;5,334;102,718;0,309;0,311;34,377;33,691;127,932;63,482;64,63;31,336;31,499;37,582;37,473;316,813;313,114;;89,89
2017-09-23 00:04;3,488;88,584;9,27;32,447;278,35;56,494;65,934;5,478;103,01;0,314;0,312;34,403;33,739;13,575;63,847;64,689;31,384;31,475;37,582;37,473;316,813;313,114;;90,11
2017-09-23 00:05;3,4982;88,5109;9,245;32,074;277,692;56,13;65,934;5,56;103,01;0,319;0,316;34,802;33,959;129,3;64,519;64,775;31,71;31,73;37,619;37,436;316,813;313,114;;90,659
2017-09-23 00:06;3,5084;88,4378;9,222;32,174;278,352;56,236;65,934;5,56;103,224;0,319;0,316;35,147;34,291;130,051;65,226;64,944;31,974;32,096;37,619;37,436;316,813;313,114;;90,659
2017-09-23 00:07;3,5186;88,3647;9,242;32,664;278,462;56,668;65,855;4,75;103,224;0,33;0,318;35,375;34,457;130,462;65,465;64,944;32,154;32,308;37,656;37,473;316,813;313,114;;89,451
2017-09-23 00:08;3,5288;88,2916;9,257;32,737;30,989;57,095;65,739;4,887;102,912;0,33;0,318;35,556;34,714;130,36;65,39;65,074;32,359;32,492;37,656;37,473;316,813;313,114;;89,121
2017-09-23 00:09;3,539;88,2185;9,219;32,786;279,066;56,751;65,576;4,762;102,912;0,331;0,322;35,597;34,779;130,312;65,247;65,01;32,457;32,544;37,692;37,619;317,18;313,37;;89,89
2017-09-23 00:10;3,5492;88,1454;9,202;32,799;30,22;56,766;65,576;4,444;102,894;0,322;0,32;35,311;34,551;129,385;64,508;64,934;32,151;32,33;37,692;37,619;317,18;313,37;;89,505
2017-09-23 00:11;3,5594;88,0723;9,165;32,718;31,758;56,598;65,275;4,624;102,894;0,322;0,316;34,83;34,203;13,497;63,626;64,932;31,766;31,976;37,582;37,582;317,18;313,37;;89,505
2017-09-23 00:12;3,5696;87,9992;9,176;32,227;31,703;56,177;65,104;4,806;103,03;0,316;0,316;34,982;34,275;13,496;63,613;64,913;32,034;32,102;37,582;37,582;317,18;313,37;;89,56
2017-09-23 00:13;3,5798;87,9261;9,129;32,069;279,67;55,604;65,104;4,573;102,794;0,313;0,317;34,924;34,196;13,41;63,492;64,925;31,87;32,015;37,582;37,509;317,18;313,37;;89,56
2017-09-23 00:14;3,59;87,853;9,155;32,456;31,319;56,345;65,104;4,573;102,794;0,313;0,317;34,65;34,031;13,078;63,15;64,899;31,648;31,778;37,582;37,509;317,18;313,37;;89,56
2017-09-23 00:15;3,6002;87,7799;9,126;32,412;30,33;56,159;65,104;4,573;102,7;0,307;0,315;34,503;33,96;127,619;62,789;64,84;31,568;31,705;37,582;37,582;317,18;313,37;;89,56
2017-09-23 00:16;3,6104;87,7068;9,117;32,499;30,33;56,164;65,104;4,573;102,7;0,307;0,315;34,355;33,726;127,414;62,707;64,825;31,355;31,3;37,582;37,582;317,18;313,37;;89,56
2017-09-23 00:17;3,6206;87,6337;9,157;32,369;30,33;56,348;65,324;4,573;102,947;0,311;0,316;34,479;33,789;13,488;63,316;65,006;31,445;31,554;37,582;37,692;317,473;313,37;;89,56
2017-09-23 00:18;3,6308;87,5606;9,193;32,405;30,22;56,402;64,974;5,476;103,218;0,319;0,316;34,864;34,131;129,43;64,385;65,143;31,717;31,862;37,582;37,692;317,473;313,37;;90,22
2017-09-23 00:19;3,641;87,4875;9,132;32,098;277,509;55,488;65,134;5,011;103,218;0,326;0,32;35,147;34,325;129,958;64,821;65,192;32,031;32,111;37,582;37,692;317,473;313,37;;90,769
2017-09-23 00:20;3,6512;87,4144;9,214;32,179;278,791;56,145;65,766;4,72;103,574;0,326;0,32;35,187;34,417;130,084;64,923;65,13;32,038;32,144;37,582;37,692;317,473;313,37;;90,769
2017-09-23 00:21;3,6614;87,3413;9,306;32,898;30;57,639;66,463;3,75;104,159;0,331;0,321;35,49;34,664;130,36;65,348;65,222;32,295;32,441;37,582;37,656;317,473;313,37;;90,769
2017-09-23 00:22;3,6716;87,2682;9,298;32,979;31,044;57,5;66,463;4,591;105,183;0,331;0,325;35,733;34,933;131,13;65,504;65,73;32,514;32,618;37,582;37,656;318,901;313,37;;89,89
